oracle,entropy_q0,entropy_q1,purity,entangled
oracle_cx,0.21460054455125455,0.5596622492715182,(0.7277085946665878+0j),False
oracle_c,0.19873836382073326,0.5544899919050272,(0.7338647908634618+0j),False
oracle_0,0.20581178660467075,0.47611497621158794,(0.7769660850365965+0j),False
oracle_1,0.20697460620789493,0.46280109257449276,(0.7792166868845629+0j),False
