oracle,min_eigenvalue_PPT,negativity,entangled_PPT
oracle_cx,-0.1951847676944333,0.20970630559630538,True
oracle_c,-0.1944262054899225,0.1944262054899225,True
oracle_0,-0.5716888711164284,0.5716888711164284,True
oracle_1,-0.5636229631976784,0.5636229631976784,True
