oracle,entropy_q0,entropy_q1,purity,entangled
oracle_cx,0.21534720828672074,0.5768731998336221,(0.7220796578460281+0j),False
oracle_c,0.1992350473109762,0.5394865845126445,(0.743345942762164+0j),False
oracle_0,0.09641250820685623,0.4888635603299786,(0.7921749618318357+0j),False
oracle_1,0.08046726253819847,0.4865506711160542,(0.7954396650850626+3.3881317890172014e-21j),False
